filename,label,query,bbc_id,description,n_samples,duration_ms,sample_rate,rms_db,status
robin_song.wav,robin_song,robin singing,07042130,Robin singing.,9600,200,48000,-20.0,OK
blackbird_song.wav,blackbird_song,blackbird singing,07042023,"Blackbird singing in quiet town garden, ",9600,200,48000,-20.0,OK
wren_song.wav,wren_song,wren singing,07042046,Wren singing.,9600,200,48000,-20.0,OK
nightingale.wav,nightingale,nightingale song,NHU05053086,Song MCU with Nightingale.,9600,200,48000,-20.0,OK
cuckoo.wav,cuckoo,cuckoo call,NHU05084193,Call.,9600,200,48000,-20.0,OK
crow_caw.wav,crow_caw,crow cawing,NHU05055290,"Several cawing MCU, including advertisem",9600,200,48000,-20.0,OK
raven_call.wav,raven_call,raven croaking,NHU05081132,Individual croaking c/u.,9600,200,48000,-20.0,OK
magpie.wav,magpie,magpie chattering,NHU05050225,Chattering (in light rain).,9600,200,48000,-20.0,OK
starling.wav,starling,starling murmuration,NHU05095018,Drumming. with starling.,9600,200,48000,-20.0,OK
sparrow_chirp.wav,sparrow_chirp,sparrow chirping,NHU9709185,chirping,9600,200,48000,-20.0,OK
pigeon_coo.wav,pigeon_coo,pigeon cooing,NHU05019083,Pigeons in pigeon loft cooing. Wingflaps,9600,200,48000,-20.0,OK
parrot_squawk.wav,parrot_squawk,parrot squawking,07034175,Parrot talking & squawking.,9600,200,48000,-20.0,OK
peacock_call.wav,peacock_call,peacock calling,NHU05048038,Calling and bathing,9600,200,48000,-20.0,OK
turkey_gobble.wav,turkey_gobble,turkey gobbling,NHU05018054,Mcu drumming/gobbling calls from turkey.,9600,200,48000,-20.0,OK
goose_honk.wav,goose_honk,goose honking,07068061,"Exterior - goose run, peasant farm goose",9600,200,48000,-20.0,OK
swan_call.wav,swan_call,swan calling,07042134,Swan Geese calls.,9600,200,48000,-20.0,OK
heron_call.wav,heron_call,heron calling,NHU05027044,"Heronry calls cu, continuous calling. Ho",9600,200,48000,-20.0,OK
eagle_cry.wav,eagle_cry,eagle screaming,07034122,"Woman, uncontrolled sobbing.",9600,200,48000,-20.0,OK
hawk_screech.wav,hawk_screech,hawk screeching,NHU05039143,Several good screeching calls from hawk.,9600,200,48000,-20.0,OK
penguin_call.wav,penguin_call,penguin calling colony,NHU05005082,CU sound of sheathbill eating macaroni p,9600,200,48000,-20.0,OK
flamingo.wav,flamingo,flamingo calling,NHU9719420,MCU screeching,9600,200,48000,-20.0,OK
pelican.wav,pelican,pelican calling,07014168,High pitched bleeps. (Pelican Crossing),9600,200,48000,-20.0,OK
kingfisher.wav,kingfisher,kingfisher calling,NHU05077013,Mcu-cu intermittent calling. Slight foot,9600,200,48000,-20.0,OK
lark_song.wav,lark_song,skylark singing,NHU05078266,With skylark singing,9600,200,48000,-20.0,OK
thrush_song.wav,thrush_song,song thrush singing,NHU05080189,Song. with rook and common wren.,9600,200,48000,-20.0,OK
warbler_song.wav,warbler_song,warbler singing woodland,07044096,Willow Warbler singing.,9600,200,48000,-20.0,OK
finch_song.wav,finch_song,goldfinch singing,NHU05063182,"Spring, dawn. Stonechat, goldfinch and g",9600,200,48000,-20.0,OK
swift_screech.wav,swift_screech,swift screaming flying,NHU05079162,Screaming calls in flight,9600,200,48000,-20.0,OK
kookaburra.wav,kookaburra,kookaburra laughing,NHU05098083,'Laughing' song,9600,200,48000,-20.0,OK
cockerel_crow.wav,cockerel_crow,cockerel crowing dawn,NHU05011158,Cockerel crowing mcu. B/g sparrows.,9600,200,48000,-20.0,OK
dog_bark.wav,dog_bark,dog barking,07037489,Dog barking.,9600,200,48000,-20.0,OK
dog_growl.wav,dog_growl,dog growling,07020115,"Dog growling, interior.",9600,200,48000,-20.0,OK
dog_whine.wav,dog_whine,dog whining,NHU05015128,Studio recording of collie dog (exact br,9600,200,48000,-20.0,OK
cat_meow.wav,cat_meow,cat meowing,07045233,Siamese cat meowing.,9600,200,48000,-20.0,OK
cat_purr.wav,cat_purr,cat purring,07045206,"Tom cat, purring.",9600,200,48000,-20.0,OK
cat_hiss.wav,cat_hiss,cat hissing,07045241,Burmese cat hissing and growling.,9600,200,48000,-20.0,OK
cow_moo.wav,cow_moo,cow mooing,NHU05011157,Mcu clucking and scratching sounds from ,9600,200,48000,-20.0,OK
sheep_baa.wav,sheep_baa,sheep bleating,07012173,Several lambs and sheep bleating.,9600,200,48000,-20.0,OK
goat_bleat.wav,goat_bleat,goat bleating,07012175,One goat bleating. (Distant bird song),9600,200,48000,-20.0,OK
pig_grunt.wav,pig_grunt,pig grunting,NHU10242328,grunting of pig (generic),9600,200,48000,-20.0,OK
pig_squeal.wav,pig_squeal,pig squealing,07024192,Electrical: Pig Feeding Computer.,9600,200,48000,-20.0,OK
donkey_bray.wav,donkey_bray,donkey braying,07035005,Donkey braying.,9600,200,48000,-20.0,OK
horse_gallop.wav,horse_gallop,horse galloping,07039275,Horse galloping.,9600,200,48000,-20.0,OK
horse_snort.wav,horse_snort,horse snorting,07024180,Horse: Snorting.,9600,200,48000,-20.0,OK
deer_call.wav,deer_call,deer calling stag,NHU05007087,Sounds of axis deer stag thrashing bush.,9600,200,48000,-20.0,OK
fox_bark.wav,fox_bark,fox barking night,07023374,"Dog: Fox Terrier, Wire-Haired, Exterior,",9600,200,48000,-20.0,OK
badger.wav,badger,badger snuffling,07020101,King Charles Spaniel barking & snuffling,9600,200,48000,-20.0,OK
hedgehog.wav,hedgehog,hedgehog snuffling,07012159,Two pigs grunting and snuffling.,9600,200,48000,-20.0,OK
squirrel_chatter.wav,squirrel_chatter,squirrel chattering,NHU05080156,Two chattering mid-distant with red-bill,9600,200,48000,-20.0,OK
rabbit_thump.wav,rabbit_thump,rabbit thumping,07061065,Thumping massage.,9600,200,48000,-20.0,OK
rat_squeak.wav,rat_squeak,rat squeaking,07019055,Rat squeaking. (Technical note: for use ,9600,200,48000,-20.0,OK
mouse_squeak.wav,mouse_squeak,mouse squeaking,07019051,Mouse snuffling & squeaking. (Technical ,9600,200,48000,-20.0,OK
bat_squeak.wav,bat_squeak,bat echolocation,0009038,cricket - bat on ball,9600,200,48000,-20.0,OK
tiger_growl.wav,tiger_growl,tiger growling,NHU05098033,Siberian tiger (P.t.altaica) Cu growling,9600,200,48000,-20.0,OK
leopard_growl.wav,leopard_growl,leopard snarling,NHU05083153,Snarling and sniffing,9600,200,48000,-20.0,OK
bear_growl.wav,bear_growl,bear growling,07036143,Teddy Bear squeaker.,9600,200,48000,-20.0,OK
gorilla_chest.wav,gorilla_chest,gorilla chest beating,NHU05102092,Adult chest beating.,9600,200,48000,-20.0,OK
chimpanzee.wav,chimpanzee,chimpanzee calling,NHU05002077,Calling through forest from one group to,9600,200,48000,-20.0,OK
seal_bark.wav,seal_bark,seal barking,07063056,"Elephant seal colony, Valdes Peninsula, ",9600,200,48000,-20.0,OK
dolphin_click.wav,dolphin_click,dolphin clicking,NHU05102119,School playing around boat mainly splash,9600,200,48000,-20.0,OK
snake_hiss.wav,snake_hiss,snake hissing,NHU05100055,Hissing,9600,200,48000,-20.0,OK
crocodile.wav,crocodile,crocodile snapping,07037472,"Dog, angry snapping & growls, with a few",9600,200,48000,-20.0,OK
cricket_chirp.wav,cricket_chirp,cricket chirping night,NHU05079180,Chirping,9600,200,48000,-20.0,OK
cicada.wav,cicada,cicada buzzing,NHU05023100,Mcu flock calls. Insects buzzing. Oropen,9600,200,48000,-20.0,OK
mosquito_buzz.wav,mosquito_buzz,mosquito buzzing,07024188,Electrical: Buzzing.,9600,200,48000,-20.0,OK
fly_buzz.wav,fly_buzz,fly buzzing,NHU05036074,Cu buzzing from single hornets leaving a,9600,200,48000,-20.0,OK
wasp_buzz.wav,wasp_buzz,wasp buzzing,NHU05005037,CU sound of wasp digging in sand. Buzzin,9600,200,48000,-20.0,OK
grasshopper.wav,grasshopper,grasshopper chirping,NHU05046020,Cu stridulation from a single grasshoppe,9600,200,48000,-20.0,OK
beetle_crawl.wav,beetle_crawl,beetle crawling,NHU10405894,tapping of beetle,9600,200,48000,-20.0,OK
ant_colony.wav,ant_colony,ant colony rustling,NHU05023175,"Colony calls cu from nesting birds, move",9600,200,48000,-20.0,OK
